seq1_id,seq2_id,tm_score,evalue
cath|4_4_0|1aalB00,cath|4_4_0|1aapA00,0.981400,0.000001
cath|4_4_0|1aalB00,cath|4_4_0|1b69A00,0.340000,1.869000
cath|4_4_0|1aalB00,cath|4_4_0|1a14L00,0.331000,2.274000
cath|4_4_0|1aalB00,cath|4_4_0|1b12C01,0.456300,5.316000
cath|4_4_0|1aalB00,cath|4_4_0|1aw8E00,0.362500,6.467000
cath|4_4_0|1aalB00,cath|4_4_0|1aw8B00,0.361100,6.904000
cath|4_4_0|1aalB00,cath|4_4_0|1ae9A00,0.403100,6.467000
cath|4_4_0|1aalB00,cath|4_4_0|192lA00,0.277700,5.316000
cath|4_4_0|1aalB00,cath|4_4_0|1b06A02,0.393800,6.904000
cath|4_4_0|1aalB00,cath|4_4_0|1b06A01,0.393800,6.904000
cath|4_4_0|1aalB00,cath|4_4_0|1aniA00,0.446200,8.397000
cath|4_4_0|1aalB00,cath|4_4_0|1aliA00,0.417800,8.397000
cath|4_4_0|1aalB00,cath|4_4_0|177lA00,0.261300,5.675000
cath|4_4_0|1aalB00,cath|4_4_0|167lA00,0.258300,6.058000
cath|4_4_0|1aalB00,cath|4_4_0|1a79A02,0.357700,7.369000
cath|4_4_0|1aalB00,cath|4_4_0|1a79A01,0.357700,7.369000
cath|4_4_0|1aalB00,cath|4_4_0|1aj7L01,0.306900,6.058000
cath|4_4_0|1aalB00,cath|4_4_0|1aqkL02,0.254000,4.980000
cath|4_4_0|1aalB00,cath|4_4_0|1aqkL01,0.254000,4.980000
cath|4_4_0|1aalB00,cath|4_4_0|1as4A02,0.306500,6.904000
cath|4_4_0|1aalB00,cath|4_4_0|1as4A01,0.306500,6.904000
cath|4_4_0|1aalB00,cath|4_4_0|1attB02,0.493100,9.568000
cath|4_4_0|1aalB00,cath|4_4_0|1alkA00,0.451100,8.963000
cath|4_4_0|1aalB00,cath|4_4_0|1aiuA00,0.348600,7.867000
cath|4_4_0|1aalB00,cath|4_4_0|1asvA00,0.351900,9.568000
cath|4_4_0|1aalB00,cath|4_4_0|1asuA00,0.247500,5.675000
cath|4_4_0|1aalB00,cath|4_4_0|1b4jL01,0.237700,5.675000
cath|4_4_0|1aalB00,cath|4_4_0|1a2nA02,0.347100,7.867000
cath|4_4_0|1aalB00,cath|4_4_0|1az5A00,0.183700,4.370000
cath|4_4_0|1aalB00,cath|4_4_0|1b6kA00,0.262400,8.963000
cath|4_4_0|1aalB00,cath|4_4_0|1b0wA00,0.329800,9.568000
cath|4_4_0|1aalB00,cath|4_4_0|1ar2A00,0.298100,7.867000
cath|4_4_0|1aalB00,cath|4_4_0|1axsA01,0.310800,9.568000
cath|4_4_0|1aalB00,cath|4_4_0|1afvL01,0.307200,8.963000
cath|4_4_0|1aalB00,cath|4_4_0|1a9xD02,0.348900,8.397000
cath|4_4_0|1aalB00,cath|4_4_0|1alhA00,0.314800,8.397000
cath|4_4_0|1aalB00,cath|4_4_0|1a7qL00,0.234500,8.963000
cath|4_4_0|1aalB00,cath|4_4_0|1aroP05,0.227000,7.867000
cath|4_4_0|1aalB00,cath|4_4_0|1aroP03,0.227000,7.867000
cath|4_4_0|1aalB00,cath|4_4_0|1aroP02,0.227000,7.867000
